index,y,x
145,43666.6667,79416.6667
146,43683.3333,79766.6667
147,43683.3333,80433.3333
148,43700,65116.6667
149,43700,65783.3333
150,43700,79366.6667
151,43700,79416.6667
152,43700,79500
153,43700,79566.6667
154,43700,79633.3333
155,43700,80366.6667
156,43716.6667,79250
157,43716.6667,79483.3333
158,43716.6667,79566.6667
159,43733.3333,65966.6667
160,43733.3333,79250
161,43733.3333,79333.3333
162,43733.3333,80966.6667
163,43733.3333,81700
164,43750,66116.6667
165,43750,79200
166,43750,79416.6667
167,43766.6667,65316.6667
168,43766.6667,80066.6667
169,43783.3333,79250
170,43783.3333,79266.6667
171,43783.3333,79416.6667
172,43783.3333,79600
173,43783.3333,79933.3333
174,43800,65850
175,43800,79416.6667
176,43833.3333,65066.6667
177,43833.3333,66116.6667
178,43833.3333,80533.3333
179,43833.3333,80850
180,43850,65966.6667
181,43850,66150
182,43850,79016.6667
183,43866.6667,78933.3333
184,43866.6667,79033.3333
185,43866.6667,79266.6667
186,43866.6667,79433.3333
187,43866.6667,79866.6667
188,43866.6667,80000
189,43883.3333,66083.3333
190,43883.3333,79733.3333
191,43883.3333,81300
192,43900,78683.3333
193,43900,78866.6667
194,43900,80316.6667
195,43916.6667,78583.3333
196,43916.6667,80083.3333
197,43916.6667,80883.3333
198,43933.3333,64850
199,43933.3333,79533.3333
200,43933.3333,81250
201,43950,64816.6667
202,43950,77350
203,43950,78300
204,43950,81516.6667
205,43966.6667,66133.3333
206,43966.6667,78166.6667
207,43966.6667,79250
208,43966.6667,80733.3333
209,43983.3333,66016.6667
210,43983.3333,81283.3333
211,44000,77233.3333
212,44000,79466.6667
213,44016.6667,77150
214,44016.6667,77883.3333
215,44016.6667,78716.6667
216,44016.6667,78966.6667
217,44016.6667,79800
218,44033.3333,64716.6667
219,44033.3333,77733.3333
220,44033.3333,81116.6667
221,44050,64750
222,44050,66166.6667
223,44050,76933.3333
224,44050,78800
225,44050,79450
226,44050,80933.3333
227,44066.6667,78366.6667
228,44066.6667,80200
229,44066.6667,81583.3333
230,44083.3333,66033.3333
231,44083.3333,77366.6667
232,44083.3333,81133.3333
233,44100,77583.3333
234,44100,78633.3333
235,44100,78933.3333
236,44100,79116.6667
237,44116.6667,79566.6667
238,44133.3333,64650
239,44133.3333,78183.3333
240,44133.3333,78666.6667
241,44133.3333,81150
242,44150,76766.6667
243,44150,78450
244,44150,79866.6667
245,44150,81033.3333
246,44166.6667,77383.3333
247,44166.6667,80383.3333
248,44166.6667,81633.3333
249,44183.3333,66150
250,44183.3333,76766.6667
251,44183.3333,78566.6667
252,44183.3333,80816.6667
253,44200,76750
254,44200,77033.3333
255,44200,77600
256,44200,81233.3333
257,44216.6667,76533.3333
258,44216.6667,76866.6667
259,44216.6667,77366.6667
260,44233.3333,64450
261,44233.3333,76483.3333
262,44233.3333,76616.6667
263,44233.3333,77033.3333
264,44233.3333,79050
265,44250,64550
266,44250,76950
267,44250,77816.6667
268,44250,78166.6667
269,44250,79466.6667
270,44250,79583.3333
271,44250,80550
272,44266.6667,64600
273,44266.6667,66316.6667
274,44266.6667,66350
275,44266.6667,79550
276,44266.6667,79883.3333
277,44283.3333,64366.6667
278,44283.3333,79916.6667
279,44300,64366.6667
280,44300,76566.6667
281,44300,77550
282,44300,77600
283,44300,77800
284,44300,77950
285,44300,78333.3333
286,44300,78550
287,44300,79366.6667
288,44300,81100
289,44300,81283.3333
290,44316.6667,64416.6667
291,44316.6667,79200
292,44316.6667,79883.3333
293,44316.6667,80100
294,44316.6667,80533.3333
295,44316.6667,80650
296,44333.3333,66116.6667
297,44333.3333,76166.6667
298,44333.3333,76333.3333
299,44333.3333,76866.6667
300,44350,64250
301,44350,78733.3333
302,44350,79033.3333
303,44350,79783.3333
304,44366.6667,64316.6667
305,44366.6667,64516.6667
306,44366.6667,65033.3333
307,44366.6667,75933.3333
308,44366.6667,76516.6667
309,44366.6667,76766.6667
310,44383.3333,64966.6667
311,44383.3333,66216.6667
312,44383.3333,77016.6667
313,44383.3333,77983.3333
314,44383.3333,78200
315,44383.3333,79700
316,44416.6667,65983.3333
317,44416.6667,79000
318,44416.6667,80083.3333
319,44433.3333,64366.6667
320,44433.3333,75950
321,44433.3333,77450
322,44433.3333,77616.6667
323,44433.3333,77883.3333
324,44433.3333,78266.6667
325,44433.3333,79150
326,44433.3333,81383.3333
327,44450,64850
328,44450,78633.3333
329,44450,79733.3333
330,44450,80883.3333
331,44466.6667,63600
332,44466.6667,63716.6667
333,44466.6667,63800
334,44466.6667,76883.3333
335,44466.6667,76983.3333
336,44466.6667,77300
337,44483.3333,76683.3333
338,44483.3333,77683.3333
339,44500,79466.6667
340,44500,80216.6667
341,44500,81366.6667
342,44516.6667,77216.6667
343,44516.6667,77483.3333
344,44516.6667,77616.6667
345,44516.6667,79616.6667
346,44533.3333,64233.3333
347,44533.3333,66016.6667
348,44533.3333,77783.3333
349,44533.3333,78550
350,44533.3333,78750
351,44533.3333,81166.6667
352,44550,64716.6667
353,44550,77333.3333
354,44550,78333.3333
355,44550,79183.3333
356,44550,80450
357,44566.6667,65633.3333
358,44566.6667,80800
359,44566.6667,80850
360,44583.3333,64066.6667
361,44583.3333,75683.3333
362,44583.3333,79866.6667
363,44600,65750
364,44600,78933.3333
365,44600,79366.6667
366,44600,79416.6667
367,44600,80583.3333
368,44600,81133.3333
369,44616.6667,63483.3333
370,44633.3333,63350
371,44633.3333,64050
372,44633.3333,64850
373,44633.3333,65650
374,44633.3333,75850
375,44633.3333,77283.3333
376,44633.3333,80950
377,44650,63266.6667
378,44650,63550
379,44650,63600
380,44650,65633.3333
381,44650,66850
382,44650,75650
383,44650,76250
384,44650,76316.6667
385,44650,76716.6667
386,44650,77116.6667
387,44650,77550
388,44650,79033.3333
389,44650,79266.6667
390,44666.6667,63566.6667
391,44666.6667,63950
392,44666.6667,76683.3333
393,44666.6667,77333.3333
394,44666.6667,78800
395,44683.3333,75966.6667
396,44683.3333,76400
397,44683.3333,79883.3333
398,44700,63883.3333
399,44716.6667,63233.3333
400,44716.6667,64800
401,44716.6667,65216.6667
402,44716.6667,75516.6667
403,44716.6667,78933.3333
404,44716.6667,79816.6667
405,44728.8889,63664.4444
406,44733.3333,64450
407,44733.3333,64700
408,44733.3333,65516.6667
409,44733.3333,76850
410,44733.3333,81133.3333
411,44750,65516.6667
412,44750,78083.3333
413,44750,79333.3333
414,44750,79700
415,44750,79766.6667
416,44750,79816.6667
417,44750,79900
418,44766.6667,66750
419,44766.6667,76683.3333
420,44766.6667,79333.3333
421,44766.6667,79933.3333
422,44783.3333,63150
423,44783.3333,75366.6667
424,44783.3333,78650
425,44800,62700
426,44800,65050
427,44800,79716.6667
428,44816.6667,65516.6667
429,44816.6667,77616.6667
430,44850,65150
431,44850,75316.6667
432,44850,77833.3333
433,44850,79500
434,44883.3333,63833.3333
435,44883.3333,65166.6667
436,44883.3333,66950
437,44883.3333,76233.3333
438,44900,62416.6667
439,44900,75183.3333
440,44900,76016.6667
441,44900,78383.3333
442,44916.6667,62383.3333
443,44916.6667,63233.3333
444,44916.6667,75833.3333
445,44916.6667,79366.6667
446,44933.3333,62533.3333
447,44933.3333,76683.3333
448,44933.3333,78733.3333
449,44950,65066.6667
450,44950,65266.6667
451,44950,75066.6667
452,44966.6667,62116.6667
453,44966.6667,62250
454,44966.6667,63516.6667
455,44966.6667,63966.6667
456,44983.3333,64133.3333
457,44983.3333,64900
458,44983.3333,77733.3333
459,44983.3333,79566.6667
460,44983.3333,81250
461,45000,66933.3333
462,45000,72100
463,45000,75000
464,45000,79300
465,45016.6667,65166.6667
466,45016.6667,72083.3333
467,45016.6667,72150
468,45016.6667,74366.6667
469,45016.6667,74400
470,45016.6667,74733.3333
471,45016.6667,75633.3333
472,45016.6667,76833.3333
473,45016.6667,79616.6667
474,45033.3333,62000
475,45033.3333,64733.3333
476,45033.3333,64833.3333
477,45033.3333,65066.6667
478,45033.3333,74900
479,45033.3333,76700
480,45033.3333,78216.6667
481,45033.3333,78516.6667
482,45033.3333,79300
483,45050,63133.3333
484,45050,66900
485,45050,73600
486,45050,77850
487,45050,78800
488,45050,79400
489,45066.6667,61900
490,45066.6667,63950
491,45066.6667,64183.3333
492,45066.6667,64500
493,45066.6667,64633.3333
494,45066.6667,64800
495,45066.6667,67033.3333
496,45066.6667,78083.3333
497,45066.6667,78900
498,45083.3333,63400
499,45083.3333,64366.6667
500,45083.3333,64400
501,45083.3333,66416.6667
502,45083.3333,73366.6667
503,45083.3333,74183.3333
504,45100,64250
505,45100,64933.3333
506,45100,72616.6667
507,45100,73750
508,45100,75216.6667
509,45100,75350
510,45116.6667,62016.6667
511,45116.6667,64533.3333
512,45116.6667,66683.3333
513,45116.6667,72983.3333
514,45116.6667,77866.6667
515,45133.3333,61983.3333
516,45133.3333,62950
517,45133.3333,63350
518,45133.3333,66583.3333
519,45133.3333,66816.6667
520,45133.3333,71800
521,45133.3333,73283.3333
522,45133.3333,74000
523,45133.3333,74350
524,45133.3333,74483.3333
525,45133.3333,74500
526,45133.3333,75083.3333
527,45133.3333,76133.3333
528,45133.3333,79766.6667
529,45150,64166.6667
530,45150,77250
531,45166.6667,64366.6667
532,45166.6667,67300
533,45166.6667,72033.3333
534,45166.6667,74133.3333
535,45166.6667,81333.3333
536,45183.3333,61650
537,45183.3333,61666.6667
538,45183.3333,63716.6667
539,45183.3333,63883.3333
540,45183.3333,64450
541,45183.3333,66333.3333
542,45183.3333,73400
543,45183.3333,73850
544,45183.3333,75833.3333
545,45200,64116.6667
546,45200,64616.6667
547,45200,67266.6667
548,45200,71500
549,45200,72750
550,45200,73866.6667
551,45216.6667,61366.6667
552,45216.6667,61733.3333
553,45216.6667,64016.6667
554,45216.6667,67133.3333
555,45216.6667,72516.6667
556,45216.6667,73300
557,45216.6667,76200
558,45216.6667,77400
559,45216.6667,79333.3333
560,45233.3333,61200
561,45233.3333,73800
562,45233.3333,74250
563,45233.3333,77933.3333
564,45233.3333,78883.3333
565,45250,62016.6667
566,45250,63283.3333
567,45250,63466.6667
568,45250,66100
569,45250,73600
570,45250,74133.3333
571,45250,75916.6667
572,45250,77116.6667
573,45250,81666.6667
574,45266.6667,62066.6667
575,45266.6667,63866.6667
576,45266.6667,66066.6667
577,45266.6667,71516.6667
578,45266.6667,72150
579,45266.6667,74233.3333
580,45283.3333,67266.6667
581,45283.3333,71883.3333
582,45283.3333,72116.6667
583,45283.3333,72966.6667
584,45283.3333,74050
585,45283.3333,74233.3333
586,45283.3333,74850
587,45300,64400
588,45300,66200
589,45300,72266.6667
590,45300,72316.6667
591,45300,73250
592,45300,74633.3333
593,45300,75083.3333
594,45300,75883.3333
595,45300,76716.6667
596,45300,78033.3333
597,45300,79933.3333
598,45316.6667,63516.6667
599,45316.6667,63783.3333
600,45316.6667,67200
601,45316.6667,73233.3333
602,45316.6667,73850
603,45316.6667,73866.6667
604,45316.6667,73933.3333
605,45316.6667,74050
606,45316.6667,80083.3333
607,45333.3333,64766.6667
608,45333.3333,64783.3333
609,45333.3333,73816.6667
610,45333.3333,75250
611,45333.3333,75600
612,45333.3333,75683.3333
613,45333.3333,75900
614,45333.3333,76283.3333
615,45333.3333,79216.6667
616,45333.3333,80033.3333
617,45350,61000
618,45350,61250
619,45350,64716.6667
620,45350,64816.6667
621,45350,65533.3333
622,45350,66233.3333
623,45350,72516.6667
624,45350,73466.6667
625,45350,74500
626,45350,75933.3333
627,45350,76033.3333
628,45366.6667,63300
629,45366.6667,71866.6667
630,45366.6667,73550
631,45366.6667,73750
632,45366.6667,73983.3333
633,45366.6667,75800
634,45366.6667,75883.3333
635,45366.6667,76483.3333
636,45366.6667,76983.3333
637,45366.6667,77616.6667
638,45383.3333,61983.3333
639,45383.3333,63916.6667
640,45383.3333,66000
641,45383.3333,70866.6667
642,45383.3333,72733.3333
643,45383.3333,73516.6667
644,45383.3333,73750
645,45383.3333,74016.6667
646,45383.3333,75800
647,45383.3333,79783.3333
648,45400,61500
649,45400,62183.3333
650,45400,62500
651,45400,63700
652,45400,64316.6667
653,45400,71900
654,45400,72033.3333
655,45400,73000
656,45400,73583.3333
657,45400,73916.6667
658,45400,73933.3333
659,45400,74033.3333
660,45400,75850
661,45400,78083.3333
662,45416.6667,63033.3333
663,45416.6667,63383.3333
664,45416.6667,63600
665,45416.6667,64033.3333
666,45416.6667,64550
667,45416.6667,67183.3333
668,45416.6667,71616.6667
669,45416.6667,72583.3333
670,45416.6667,73500
671,45416.6667,73650
672,45416.6667,73666.6667
673,45416.6667,73683.3333
674,45416.6667,75700
675,45416.6667,80100
676,45433.3333,63466.6667
677,45433.3333,63516.6667
678,45433.3333,72883.3333
679,45433.3333,73166.6667
680,45433.3333,73650
681,45433.3333,73750
682,45433.3333,73833.3333
683,45433.3333,73966.6667
684,45433.3333,75650
685,45433.3333,75733.3333
686,45433.3333,76366.6667
687,45450,66350
688,45450,71766.6667
689,45450,73266.6667
690,45450,73300
691,45450,73483.3333
692,45450,73566.6667
693,45450,73583.3333
694,45450,73650
695,45450,73666.6667
696,45450,73750
697,45450,73850
698,45450,74116.6667
699,45450,74150
700,45450,74166.6667
701,45450,75066.6667
702,45450,75250
703,45450,75683.3333
704,45450,77316.6667
705,45450,79250
706,45466.6667,62700
707,45466.6667,63600
708,45466.6667,64783.3333
709,45466.6667,65883.3333
710,45466.6667,70850
711,45466.6667,71933.3333
712,45466.6667,73466.6667
713,45466.6667,73883.3333
714,45466.6667,74083.3333
715,45466.6667,74300
716,45466.6667,75516.6667
717,45466.6667,75700
718,45466.6667,76400
719,45466.6667,76683.3333
720,45483.3333,61033.3333
721,45483.3333,71666.6667
722,45483.3333,72316.6667
723,45483.3333,72600
724,45483.3333,73500
725,45483.3333,73600
726,45483.3333,73866.6667
727,45483.3333,73900
728,45483.3333,75600
729,45483.3333,75650
730,45483.3333,77683.3333
731,45483.3333,79466.6667
732,45500,72900
733,45500,73483.3333
734,45500,73500
735,45500,73583.3333
736,45500,73816.6667
737,45500,73966.6667
738,45500,74033.3333
739,45500,75816.6667
740,45500,78000
741,45500,78233.3333
742,45516.6667,61016.6667
743,45516.6667,64333.3333
744,45516.6667,73616.6667
745,45516.6667,73650
746,45516.6667,73666.6667
747,45516.6667,74650
748,45516.6667,75866.6667
749,45516.6667,76000
750,45516.6667,76233.3333
751,45516.6667,76416.6667
752,45516.6667,79300
753,45516.6667,80283.3333
754,45533.3333,65833.3333
755,45533.3333,71283.3333
756,45533.3333,73166.6667
757,45533.3333,73216.6667
758,45533.3333,73350
759,45533.3333,73483.3333
760,45533.3333,73516.6667
761,45533.3333,73700
762,45533.3333,73716.6667
763,45533.3333,73816.6667
764,45533.3333,73883.3333
765,45533.3333,75283.3333
766,45533.3333,77100
767,45533.3333,79316.6667
768,45550,62716.6667
769,45550,63550
770,45550,73233.3333
771,45550,73666.6667
772,45550,73700
773,45550,73733.3333
774,45550,73866.6667
775,45550,74866.6667
776,45550,75416.6667
777,45550,77416.6667
778,45550,78600
779,45550,82016.6667
780,45566.6667,62650
781,45566.6667,63000
782,45566.6667,73200
783,45566.6667,73616.6667
784,45566.6667,73650
785,45566.6667,73850
786,45566.6667,73900
787,45566.6667,76766.6667
788,45583.3333,60966.6667
789,45583.3333,62183.3333
790,45583.3333,62633.3333
791,45583.3333,67333.3333
792,45583.3333,70883.3333
793,45583.3333,72000
794,45583.3333,73516.6667
795,45583.3333,73600
796,45583.3333,75233.3333
797,45583.3333,75416.6667
798,45583.3333,77250
799,45600,61350
800,45600,61366.6667
801,45600,64950
802,45600,73533.3333
803,45600,73616.6667
804,45600,73733.3333
805,45600,76483.3333
806,45600,79100
807,45600,80366.6667
808,45616.6667,61233.3333
809,45616.6667,61400
810,45616.6667,61650
811,45616.6667,61966.6667
812,45616.6667,62416.6667
813,45616.6667,62616.6667
814,45616.6667,63666.6667
815,45616.6667,64783.3333
816,45616.6667,66083.3333
817,45616.6667,71616.6667
818,45616.6667,72950
819,45616.6667,73650
820,45616.6667,73750
821,45616.6667,73783.3333
822,45616.6667,74600
823,45616.6667,74683.3333
824,45616.6667,75016.6667
825,45616.6667,76883.3333
826,45616.6667,78400
827,45616.6667,79416.6667
828,45633.3333,60666.6667
829,45633.3333,61400
830,45633.3333,64050
831,45633.3333,66583.3333
832,45633.3333,72566.6667
833,45633.3333,72933.3333
834,45633.3333,73516.6667
835,45633.3333,73816.6667
836,45633.3333,73850
837,45633.3333,74366.6667
838,45633.3333,74600
839,45633.3333,75933.3333
840,45633.3333,78816.6667
841,45633.3333,80083.3333
842,45650,60866.6667
843,45650,61233.3333
844,45650,61516.6667
845,45650,62850
846,45650,72900
847,45650,73483.3333
848,45650,73766.6667
849,45650,74100
850,45650,74333.3333
851,45650,74933.3333
852,45650,76033.3333
853,45650,81983.3333
854,45666.6667,62700
855,45666.6667,66616.6667
856,45666.6667,72150
857,45666.6667,73566.6667
858,45666.6667,79633.3333
859,45683.3333,61433.3333
860,45683.3333,63550
861,45683.3333,64216.6667
862,45683.3333,64383.3333
863,45683.3333,66100
864,45683.3333,66916.6667
865,45683.3333,67183.3333
866,45683.3333,73183.3333
867,45683.3333,73433.3333
868,45683.3333,73633.3333
869,45683.3333,74400
870,45683.3333,76616.6667
871,45700,60733.3333
872,45700,61483.3333
873,45700,62266.6667
874,45700,64433.3333
875,45700,71450
876,45700,73783.3333
877,45716.6667,60250
878,45716.6667,61166.6667
879,45716.6667,61250
880,45716.6667,63283.3333
881,45716.6667,64250
882,45716.6667,65516.6667
883,45716.6667,67000
884,45716.6667,73483.3333
885,45716.6667,75050
886,45733.3333,63050
887,45733.3333,63866.6667
888,45733.3333,64216.6667
889,45733.3333,73450
890,45733.3333,76600
891,45733.3333,76850
892,45733.3333,81800
893,45750,62733.3333
894,45750,64716.6667
895,45750,70700
896,45750,73483.3333
897,45766.6667,66150
898,45766.6667,71416.6667
899,45766.6667,72983.3333
900,45766.6667,73350
901,45766.6667,73983.3333
902,45766.6667,74000
903,45766.6667,75583.3333
904,45766.6667,79400
905,45766.6667,80550
906,45783.3333,63633.3333
907,45783.3333,71933.3333
908,45783.3333,72016.6667
909,45783.3333,73150
910,45783.3333,75100
911,45783.3333,80533.3333
912,45800,61483.3333
913,45800,63466.6667
914,45800,65116.6667
915,45800,71900
916,45800,74016.6667
917,45800,75950
918,45816.6667,73433.3333
919,45816.6667,77116.6667
920,45816.6667,82583.3333
921,45833.3333,60133.3333
922,45833.3333,63583.3333
923,45833.3333,64200
924,45833.3333,71383.3333
925,45833.3333,71666.6667
926,45833.3333,72566.6667
927,45850,63650
928,45850,66466.6667
929,45850,70650
930,45850,73233.3333
931,45850,73483.3333
932,45850,73766.6667
933,45850,76750
934,45850,79366.6667
935,45866.6667,61966.6667
936,45866.6667,65816.6667
937,45866.6667,74083.3333
938,45883.3333,61500
939,45883.3333,64350
940,45883.3333,66300
941,45883.3333,66900
942,45883.3333,67466.6667
943,45883.3333,72483.3333
944,45883.3333,72766.6667
945,45883.3333,73150
946,45883.3333,73283.3333
947,45883.3333,80533.3333
948,45883.3333,80733.3333
949,45900,61100
950,45900,71350
951,45900,71650
952,45900,72516.6667
953,45900,74166.6667
954,45900,77283.3333
955,45900,82250
956,45900,82833.3333
957,45916.6667,59983.3333
958,45916.6667,64650
959,45916.6667,67033.3333
960,45916.6667,76916.6667
961,45916.6667,79983.3333
962,45916.6667,82466.6667
963,45916.6667,83116.6667
964,45933.3333,60000
965,45933.3333,61016.6667
966,45933.3333,65166.6667
967,45933.3333,72433.3333
968,45950,60783.3333
969,45950,60900
970,45950,64683.3333
971,45950,66633.3333
972,45950,71983.3333
973,45950,73583.3333
974,45950,74150
975,45950,75950
976,45950,79600
977,45966.6667,60816.6667
978,45966.6667,61116.6667
979,45966.6667,62566.6667
980,45966.6667,66583.3333
981,45966.6667,66633.3333
982,45966.6667,67233.3333
983,45966.6667,70950
984,45966.6667,71816.6667
985,45966.6667,72383.3333
986,45966.6667,73216.6667
987,45966.6667,73466.6667
988,45966.6667,73716.6667
989,45966.6667,81933.3333
990,45983.3333,60983.3333
991,45983.3333,66200
992,45983.3333,67600
993,45983.3333,79366.6667
994,45983.3333,80716.6667
995,46000,59850
996,46000,64550
997,46000,65316.6667
998,46000,67466.6667
999,46000,72916.6667
1000,46016.6667,60650
1001,46016.6667,62483.3333
1002,46016.6667,62533.3333
1003,46016.6667,62883.3333
1004,46016.6667,66833.3333
1005,46016.6667,73166.6667
1006,46016.6667,74766.6667
1007,46016.6667,77450
1008,46033.3333,59983.3333
1009,46033.3333,61533.3333
1010,46033.3333,65050
1011,46033.3333,65866.6667
1012,46033.3333,71366.6667
1013,46033.3333,71916.6667
1014,46033.3333,73133.3333
1015,46033.3333,73433.3333
1016,46033.3333,73700
1017,46033.3333,74033.3333
1018,46033.3333,74066.6667
1019,46033.3333,74200
1020,46033.3333,74283.3333
1021,46033.3333,78466.6667
1022,46033.3333,80600
1023,46050,64100
1024,46050,65550
1025,46050,70516.6667
1026,46050,71966.6667
1027,46050,73116.6667
1028,46050,81783.3333
1029,46066.6667,61366.6667
1030,46066.6667,62816.6667
1031,46066.6667,67683.3333
1032,46066.6667,72800
1033,46066.6667,72833.3333
1034,46066.6667,79116.6667
1035,46066.6667,79350
1036,46083.3333,59933.3333
1037,46083.3333,61416.6667
1038,46083.3333,64766.6667
1039,46083.3333,66050
1040,46083.3333,71300
1041,46083.3333,73166.6667
1042,46083.3333,75616.6667
1043,46083.3333,76050
1044,46083.3333,78883.3333
1045,46100,60500
1046,46100,60750
1047,46100,63933.3333
1048,46100,64666.6667
1049,46100,64750
1050,46100,77500
1051,46100,81716.6667
1052,46116.6667,60216.6667
1053,46116.6667,60233.3333
1054,46116.6667,63783.3333
1055,46116.6667,64950
1056,46116.6667,67150
1057,46116.6667,70666.6667
1058,46116.6667,70683.3333
1059,46116.6667,74583.3333
1060,46133.3333,59883.3333
1061,46133.3333,66600
1062,46133.3333,67183.3333
1063,46133.3333,70366.6667
1064,46133.3333,71216.6667
1065,46133.3333,74183.3333
1066,46133.3333,77700
1067,46133.3333,80433.3333
1068,46150,60166.6667
1069,46150,60283.3333
1070,46150,64183.3333
1071,46150,67566.6667
1072,46166.6667,60233.3333
1073,46166.6667,62650
1074,46166.6667,62916.6667
1075,46166.6667,64566.6667
1076,46166.6667,65883.3333
1077,46166.6667,71883.3333
1078,46166.6667,72233.3333
1079,46166.6667,73416.6667
1080,46166.6667,77566.6667
1081,46166.6667,80700
1082,46183.3333,59866.6667
1083,46183.3333,61266.6667
1084,46183.3333,62533.3333
1085,46183.3333,62883.3333
1086,46183.3333,72500
1087,46183.3333,73116.6667
1088,46183.3333,82333.3333
1089,46183.3333,82950
1090,46200,59966.6667
1091,46200,60250
1092,46200,62833.3333
1093,46200,70483.3333
1094,46200,70766.6667
1095,46200,74633.3333
1096,46200,82083.3333
1097,46200,82666.6667
1098,46200,83150
1099,46216.6667,60016.6667
1100,46216.6667,63466.6667
1101,46216.6667,63483.3333
1102,46216.6667,64533.3333
1103,46216.6667,71083.3333
1104,46216.6667,71383.3333
1105,46216.6667,71766.6667
1106,46216.6667,72433.3333
1107,46216.6667,72600
1108,46216.6667,73016.6667
1109,46216.6667,73533.3333
1110,46216.6667,77883.3333
1111,46216.6667,78066.6667
1112,46216.6667,79366.6667
1113,46233.3333,60216.6667
1114,46233.3333,60283.3333
1115,46233.3333,61283.3333
1116,46233.3333,62616.6667
1117,46233.3333,63133.3333
1118,46233.3333,64533.3333
1119,46233.3333,66616.6667
1120,46233.3333,76016.6667
1121,46233.3333,80866.6667
1122,46233.3333,83333.3333
1123,46250,60083.3333
1124,46250,60616.6667
1125,46250,63116.6667
1126,46250,63666.6667
1127,46250,63700
1128,46250,65066.6667
1129,46250,67683.3333
1130,46250,71516.6667
1131,46250,72933.3333
1132,46250,73083.3333
1133,46250,78283.3333
1134,46250,81766.6667
1135,46250,83550
1136,46250,83883.3333
1137,46266.6667,66633.3333
1138,46266.6667,71000
1139,46266.6667,79033.3333
1140,46266.6667,81883.3333
1141,46283.3333,63133.3333
1142,46283.3333,66733.3333
1143,46283.3333,72683.3333
1144,46283.3333,72833.3333
1145,46283.3333,73366.6667
1146,46283.3333,74733.3333
1147,46283.3333,83783.3333
1148,46283.3333,84033.3333
1149,46300,60616.6667
1150,46300,62783.3333
1151,46300,63216.6667
